Name,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
throne-cleaver,pve,Sword,Aggressive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']",[],"['Relentless Strikes', 'Tireless Blade', 'Shattering Blade']","['Counterattack', 'En Garde', 'Whirlwind Blade']"
throne-cleaver,pvp,Sword,Aggressive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']",[],"['Relentless Strikes', 'Tireless Blade']","['Counterattack', ""Assassin's Blade""]"
goldtusk,pve,Sword,Lightweight Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']",[],"['Relentless Strikes', 'Tireless Blade', 'En Garde']","['Surrounded', 'Whirlwind Blade']"
goldtusk,pvp,Sword,Lightweight Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']",[],"['Relentless Strikes', 'Tireless Blade']","['Surrounded', ""Assassin's Blade""]"
death's razor,pve,Sword,Adaptive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']",[],"['Energy Transfer', 'Relentless Strikes', 'Tireless Blade']",['Whirlwind Blade']
death's razor,pvp,Sword,Adaptive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']",[],"['Energy Transfer', 'Relentless Strikes', 'Tireless Blade']","['Counterattack', ""Assassin's Blade""]"
ether doctor,pve,Auto Rifle,Adaptive Frame,"['King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['Extended Mag', 'Alloy Magazine', 'High-Caliber Rounds']",['Zen Moment'],"['Rampage', 'High-Impact Reserves']"
ether doctor,pvp,Auto Rifle,Adaptive Frame,"['King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['Ricochet Rounds', 'Flared Magwell']","['Zen Moment', 'Tap the Trigger', 'Dynamic Sway Reduction']","['Slideways', 'Under Pressure']"
gahlran's right hand,pve,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Armor-Piercing Rounds']","['Zen Moment', 'Tap the Trigger', 'Outlaw']","['Demolitionist', 'Multikill Clip', 'High-Impact Reserves']"
gahlran's right hand,pvp,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Arrowhead Brake', 'Extended Barrel']","['High-Caliber Rounds', 'Ricochet Rounds']","['Zen Moment', 'Tap the Trigger', 'Eye of the Storm']","['Demolitionist', 'Underdog', 'Rangefinder']"
halfdan-d,pve,Auto Rifle,High-Impact Frame,"['SC Holo', 'GA Post']","['Tactical Mag', 'Steady Rounds', 'Alloy Magazine']","['Dynamic Sway Reduction', 'Outlaw']","['Kill Clip', 'Rampage']"
halfdan-d,pvp,Auto Rifle,High-Impact Frame,['SC Holo'],"['Tactical Mag', 'Steady Rounds', 'Drop Mag']","['Dynamic Sway Reduction', 'Tap the Trigger']","['Kill Clip', 'Rangefinder']"
hazard of the cast,pve,Auto Rifle,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Zen Moment', 'Ambitious Assassin', 'Tap the Trigger', 'Triple Tap']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
hazard of the cast,pvp,Auto Rifle,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator']","['High-Caliber Rounds', 'Extended Mag']",['Zen Moment'],"['Rampage', 'Quickdraw']"
pluperfect,pve,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Smallbore', 'Corkscrew Rifling', 'Fluted Barrel']","['High-Caliber Rounds', 'Ricochet Rounds', 'Appended Mag']","['Underdog', 'Outlaw', 'Zen Moment']","['Kill Clip', 'Rampage', 'High-Impact Reserves']"
pluperfect,pvp,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Smallbore', 'Extended Barrel', 'Hammer-Forged Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Underdog', 'Outlaw', 'Zen Moment', 'Slideways']","['Kill Clip', 'Rampage', 'Dynamic Sway Reduction', 'Mulligan']"
steelfeather repeater,pve,Auto Rifle,Rapid-Fire Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Extended Barrel']","['High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds']","['Feeding Frenzy', 'Firmly Planted', 'Subsistence']","['Swashbuckler', 'Vorpal Weapon', 'Multikill Clip']"
steelfeather repeater,pvp,Auto Rifle,Rapid-Fire Frame,"['Hammer-Forged Rifling', 'Smallbore', 'Full Bore', 'Polygonal Rifling']","['High-Caliber Rounds', 'Ricochet Rounds']","['Feeding Frenzy', 'Firmly Planted']","['Swashbuckler', 'Vorpal Weapon', 'Elemental Capacitor']"
tigerspite,pve,Auto Rifle,Precision Frame,"['Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",['Ricochet Rounds'],['Dynamic Sway Reduction'],['Kill Clip']
accrued redemption,pve,Combat Bow,Precision Frame,"['Polymer String', 'Agile Bowstring', 'Natural String']","['Helical Fletching', 'Straight Fletching', 'Compact Arrow Shaft']","[""Archer's Tempo"", 'Quickdraw']","['Rampage', 'Rapid Hit', 'Explosive Head']"
accrued redemption,pvp,Combat Bow,Precision Frame,"['Polymer String', 'Elastic String', 'Flexible String']","['Helical Fletching', 'Straight Fletching']","[""Archer's Tempo"", 'Rangefinder', 'No Distractions']","['Rampage', 'Rapid Hit', 'Moving Target']"
the spiteful fang,pve,Combat Bow,Lightweight Frame,"['Elastic String', 'Flexible String', 'Polymer String']","['Fiberglass Arrow Shaft', 'Straight Fletching', 'Compact Arrow Shaft']","[""Archer's Tempo"", 'Sneak Bow', 'Snapshot Sights']","['Explosive Head', 'Rampage', 'Hip-Fire Grip']"
the spiteful fang,pvp,Combat Bow,Lightweight Frame,"['Elastic String', 'Flexible String', 'Polymer String']","['Fiberglass Arrow Shaft', 'Straight Fletching']","[""Archer's Tempo"", 'Rangefinder', 'Moving Target']","['Explosive Head', 'Rampage', 'Quickdraw']"
the militia's birthright,pve,Grenade Launcher,Lightweight Frame,"['Linear Compensator', 'Quick Launch']","['Proximity Grenades', 'Concussion Grenades', 'Spike Grenades']","['Quickdraw', 'Genesis', 'Ambitious Assassin']",['Rangefinder']
the militia's birthright,pvp,Grenade Launcher,Lightweight Frame,"['Linear Compensator', 'Quick Launch']","['Proximity Grenades', 'Concussion Grenades']",['Quickdraw'],"['Rangefinder', 'Snapshot Sights']"
austringer,pve,Hand Cannon,Adaptive Frame,"['Full Bore', 'Hammer-Forged Rifling', 'Smallbore']","['Accurized Rounds', 'Tactical Mag', 'Appended Mag']","['Outlaw', 'Subsistence', 'Triple Tap']","['Rangefinder', 'Demolitionist', 'Rampage']"
austringer,pvp,Hand Cannon,Adaptive Frame,"['Full Bore', 'Hammer-Forged Rifling', 'Extended Barrel']","['Accurized Rounds', 'Tactical Mag']","['Outlaw', 'Eye of the Storm']","['Rangefinder', 'Demolitionist', 'Opening Shot']"
bad news xf4354,pvp,Hand Cannon,Aggressive Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",['Accurized Rounds'],"['Moving Target', 'Outlaw', 'Rangefinder']","['Kill Clip', 'Opening Shot', 'Explosive Payload']"
better devils,pve,Hand Cannon,Adaptive Frame,"['Crossfire HCS', 'Sureshot HCS']","['Extended Mag', 'Flared Magwell', 'Alloy Magazine']","['Outlaw', 'Triple Tap']","['Explosive Payload', 'Kill Clip', 'Zen Moment']"
better devils,pvp,Hand Cannon,Adaptive Frame,"['Crossfire HCS', 'Sureshot HCS', 'HitMark HCS']","['Extended Mag', 'Flared Magwell', 'Accurized Rounds', 'Drop Mag']","['Outlaw', 'Moving Target', 'Rangefinder']","['Explosive Payload', 'Opening Shot']"
crimil's dagger,pve,Hand Cannon,Aggressive Frame,"['HitMark HCS', 'Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['Drop Mag', 'Appended Mag', 'Flared Magwell']",['Outlaw'],"['Kill Clip', 'Zen Moment']"
crimil's dagger,pvp,Hand Cannon,Aggressive Frame,"['HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",['Accurized Rounds'],"['Outlaw', 'Moving Target', 'Rangefinder']","['Kill Clip', 'Opening Shot', 'Explosive Payload']"
duke mk. 44,pve,Hand Cannon,Aggressive Frame,"['Crossfire HCS', 'Sureshot HCS']","['Outlaw', 'Rapid Hit']","['Ricochet Rounds', 'Extended Mag']",['Rampage']
duke mk. 44,pvp,Hand Cannon,Aggressive Frame,"['Crossfire HCS', 'Sureshot HCS', 'HitMark HCS']","['Outlaw', 'Opening Shot', 'Rangefinder']","['Ricochet Rounds', 'Alloy Magazine', 'High-Caliber Rounds']","['Rampage', 'Kill Clip', 'Moving Target']"
loud lullaby,pve,Hand Cannon,Aggressive Frame,"['Hammer-Forged Rifling', 'Corkscrew Rifling', 'Smallbore']","['Tactical Mag', 'Extended Mag']",['Outlaw'],"['Demolitionist', 'Multikill Clip', 'Rampage']"
loud lullaby,pvp,Hand Cannon,Aggressive Frame,"['Hammer-Forged Rifling', 'Extended Barrel', 'Full Bore']","['Tactical Mag', 'Accurized Rounds']",['Outlaw'],"['Demolitionist', 'Explosive Payload', 'Opening Shot']"
service revolver,pve,Hand Cannon,Precision Frame,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS']","['Extended Mag', 'Appended Mag', 'High-Caliber Rounds', 'Light Mag']","['Outlaw', 'Rapid Hit', 'Triple Tap']","['Kill Clip', 'Rampage']"
service revolver,pvp,Hand Cannon,Precision Frame,"['Crossfire HCS', 'Sureshot HCS']","['Ricochet Rounds', 'Accurized Rounds']","['Outlaw', 'Moving Target', 'Rangefinder']","['Kill Clip', 'Zen Moment', 'Opening Shot']"
spare rations,pve,Hand Cannon,Lightweight Frame,"['Hammer-Forged Rifling', 'Corkscrew Rifling', 'Fluted Barrel']","['High-Caliber Rounds', 'Appended Mag', 'Flared Magwell']","['Rapid Hit', ""Fourth Time's the Charm""]","['Kill Clip', 'Rampage', 'Multikill Clip']"
spare rations,pvp,Hand Cannon,Lightweight Frame,"['Hammer-Forged Rifling', 'Full Bore', 'Smallbore']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Rapid Hit', 'Snapshot Sights']","['Kill Clip', 'Slideshot', 'Rangefinder', 'Moving Target']"
