Name,Tier,Type,Equippable,Power,Masterwork Type,Masterwork Tier,Season,Mobility (Base),Resilience (Base),Recovery (Base),Discipline (Base),Intellect (Base),Strength (Base),Total (Base),Seasonal Mod,Perks 5,"Sum (Mob,Rec,Str)","Sum (Rec,Int,Dis)"
Wing Discipline,Legendary,Helmet,Titan,958,Arc Energy Capacity,6.0,9,17,2,6,2,9,16,52,dawn,,39,17
Wing Discipline,Legendary,Helmet,Titan,960,Void Energy Capacity,7.0,9,6,2,17,17,7,2,51,dawn,,25,41
Prodigal Helm,Legendary,Helmet,Titan,962,Solar Energy Capacity,5.0,4,6,13,6,13,2,10,50,,,22,21
Prodigal Helm,Legendary,Helmet,Titan,960,Arc Energy Capacity,2.0,4,6,2,16,2,6,16,48,,,38,24
Iron Will Helm,Legendary,Helmet,Titan,960,Arc Energy Capacity,8.0,8,6,2,23,6,14,7,58,undying,,36,43
Notorious Sentry Helm,Legendary,Helmet,Titan,960,Void Energy Capacity,4.0,6,10,12,7,6,9,15,59,,,32,22
Midnight Exigent Helm,Legendary,Helmet,Titan,960,Arc Energy Capacity,4.0,3,2,12,11,8,6,12,51,,,25,25
Midnight Exigent Helm,Legendary,Helmet,Titan,960,Void Energy Capacity,1.0,3,2,18,6,6,7,13,52,,,21,19
Iron Will Gauntlets,Legendary,Gauntlets,Titan,960,Solar Energy Capacity,7.0,8,2,10,18,20,7,2,59,undying,,22,45
Ancient Apocalypse Gauntlets,Legendary,Gauntlets,Titan,962,Solar Energy Capacity,4.0,9,7,16,2,13,12,2,52,dawn,,11,27
Ancient Apocalypse Gauntlets,Legendary,Gauntlets,Titan,960,Arc Energy Capacity,1.0,9,6,6,12,13,7,6,50,dawn,,24,32
Vigil of Heroes,Legendary,Gauntlets,Titan,960,Arc Energy Capacity,6.0,9,2,6,16,2,6,18,50,dawn,,36,24
Notorious Reaper Gauntlets,Legendary,Gauntlets,Titan,960,Arc Energy Capacity,1.0,6,6,14,8,2,13,12,55,,,26,23
Mimetic Savior Gauntlets,Legendary,Gauntlets,Titan,962,Void Energy Capacity,1.0,4,8,9,10,13,2,10,52,,,28,25
Outlawed Sentry Plate,Legendary,Chest Armor,Titan,957,Arc Energy Capacity,6.0,6,7,7,12,12,7,8,53,,,27,31
Notorious Sentry Plate,Legendary,Chest Armor,Titan,960,Arc Energy Capacity,5.0,6,13,2,13,6,8,12,54,,,38,27
Mimetic Savior Plate,Legendary,Chest Armor,Titan,959,Void Energy Capacity,8.0,4,8,2,18,16,7,2,53,,,28,41
Mimetic Savior Plate,Legendary,Chest Armor,Titan,962,Void Energy Capacity,1.0,4,12,6,6,12,11,2,49,,,20,29
Midnight Exigent Plate,Legendary,Chest Armor,Titan,957,Solar Energy Capacity,10.0,3,2,6,18,16,12,2,56,,,22,46
Mimetic Savior Plate,Legendary,Chest Armor,Titan,962,Void Energy Capacity,3.0,4,2,12,12,17,2,6,51,,,20,31
Tangled Web Plate,Legendary,Chest Armor,Titan,960,Arc Energy Capacity,7.0,4,8,6,12,7,2,17,52,,,37,21
Peregrine Greaves,Exotic,Leg Armor,Titan,960,Solar Energy Capacity,9.0,7,12,9,12,14,8,7,62,,,31,34
Antaeus Wards,Exotic,Leg Armor,Titan,962,Solar Energy Capacity,1.0,4,3,11,15,2,9,17,57,,,35,26
Wing Discipline,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,7.0,9,10,2,14,2,6,18,52,dawn,,42,22
Peregrine Greaves,Exotic,Leg Armor,Titan,960,Arc Energy Capacity,8.0,7,18,10,6,14,12,2,62,,Upgrade Armor*,26,32
Tangled Web Greaves,Legendary,Leg Armor,Titan,960,Arc Energy Capacity,3.0,4,2,13,10,17,2,7,51,,,19,29
Ancient Apocalypse Greaves,Legendary,Leg Armor,Titan,962,Arc Energy Capacity,2.0,9,18,2,6,8,10,6,50,dawn,,30,24
Notorious Sentry Greaves,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,1.0,6,2,13,12,6,18,6,57,,,20,36
Prodigal Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,1.0,4,8,12,6,7,2,16,51,,,30,15
Opulent Duelist Mark,Legendary,Titan Mark,Titan,962,Arc Energy Capacity,10.0,7,12,2,2,2,2,2,22,opulent,,16,6
Prodigal Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,2.0,4,0,0,0,0,0,0,0,,,0,0
Midnight Exigent Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,4.0,3,0,0,0,0,0,0,0,,,0,0
Midnight Exigent Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,3.0,3,0,0,0,0,0,0,0,,,0,0
Midnight Exigent Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,1.0,3,0,0,0,0,0,0,0,,,0,0
Mimetic Savior Bond,Legendary,Titan Mark,Titan,960,Arc Energy Capacity,1.0,4,0,0,0,0,0,0,0,,,0,0
Wing Discipline,Legendary,Titan Mark,Titan,962,Void Energy Capacity,1.0,9,0,0,0,0,0,0,0,dawn,,0,0
Ancient Apocalypse Mark,Legendary,Titan Mark,Titan,960,Void Energy Capacity,2.0,9,0,0,0,0,0,0,0,dawn,,0,0
Prodigal Cuirass,Legendary,Chest Armor,Titan,962,Solar Energy Capacity,5.0,4,11,2,10,17,2,7,49,,,28,29
Ancient Apocalypse Helm,Legendary,Helmet,Titan,959,Arc Energy Capacity,1.0,9,16,8,2,12,6,6,50,dawn,,24,20
Mark of Confrontation,Rare,Titan Mark,Titan,960,Void Energy Capacity,5.0,4,0,0,0,0,0,0,0,,,0,0
Tangled Web Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,7.0,4,2,2,22,10,12,2,50,,,26,44
Outlawed Sentry Gauntlets,Legendary,Gauntlets,Titan,957,Solar Energy Capacity,5.0,6,2,17,7,14,13,2,55,,,11,34
Armamentarium,Exotic,Chest Armor,Titan,960,Solar Energy Capacity,6.0,3,14,11,7,16,10,2,60,,,23,33
Iron Truage Greaves,Legendary,Leg Armor,Titan,960,Solar Energy Capacity,10.0,9,6,2,24,14,14,2,62,dawn,,32,52
Outlawed Sentry Mark,Legendary,Titan Mark,Titan,958,Arc Energy Capacity,4.0,6,0,0,10,0,0,0,10,,,10,10
Crown of Tempests,Exotic,Helmet,Warlock,960,Arc Energy Capacity,1.0,1,13,6,7,6,12,6,50,,,26,25
Apotheosis Veil,Exotic,Helmet,Warlock,959,Arc Energy Capacity,1.0,3,10,7,7,6,12,6,48,,,23,25
Eye of Another World,Exotic,Helmet,Warlock,960,Void Energy Capacity,1.0,1,6,6,14,12,2,12,52,,,32,28
Aeon Soul,Exotic,Gauntlets,Warlock,958,Arc Energy Capacity,1.0,2,6,8,13,6,6,12,51,,,31,25
Starfire Protocol,Exotic,Chest Armor,Warlock,960,Void Energy Capacity,1.0,1,6,7,12,12,6,6,49,,,24,30
Raven Shard,Uncommon,Chest Armor,Warlock,750,,,1,2,12,12,2,6,16,50,,,30,20
Raven Shard,Uncommon,Helmet,Warlock,750,,,1,11,6,7,7,2,16,49,,,34,16
Raven Shard,Uncommon,Gauntlets,Warlock,750,,,1,16,7,3,17,2,6,51,,,25,22
Starfire Protocol,Exotic,Chest Armor,Warlock,957,Void Energy Capacity,1.0,1,6,7,12,12,6,6,49,,,24,30
Raven Shard,Uncommon,Leg Armor,Warlock,750,,,1,13,6,7,6,10,6,48,,,26,23
Bond of the Raven Shard,Uncommon,Warlock Bond,Warlock,750,,,1,0,0,0,0,0,0,0,,,0,0
Knucklehead Radar,Exotic,Helmet,Hunter,960,Void Energy Capacity,1.0,1,11,3,10,22,2,2,50,,,23,34
Aeon Swift,Exotic,Gauntlets,Hunter,960,Arc Energy Capacity,1.0,2,11,3,11,6,6,10,47,,,32,23
The Dragon's Shadow,Exotic,Chest Armor,Hunter,958,Void Energy Capacity,1.0,1,13,8,6,6,10,6,49,,,25,22
Raiden Flux,Exotic,Chest Armor,Hunter,960,Arc Energy Capacity,1.0,1,8,11,6,6,12,6,49,,,20,24
Scavenger Suit,Uncommon,Leg Armor,Hunter,750,,,1,3,23,2,23,2,2,55,,,7,27
Scavenger Cloak,Uncommon,Hunter Cloak,Hunter,750,,,1,0,0,0,0,0,0,0,,,0,0
Scavenger Suit,Uncommon,Helmet,Hunter,750,,,1,7,10,6,6,6,10,45,,,23,18
Scavenger Suit,Uncommon,Gauntlets,Hunter,750,,,1,7,17,2,10,6,6,48,,,15,18
Scavenger Suit,Uncommon,Chest Armor,Hunter,750,,,1,9,7,10,6,2,17,51,,,36,18
Lucky Pants,Exotic,Leg Armor,Hunter,958,Void Energy Capacity,1.0,1,7,7,10,12,6,6,48,,,23,28
Prodigal Cloak,Legendary,Hunter Cloak,Hunter,862,Void Energy Capacity,2.0,4,0,0,0,0,0,0,0,,,0,0
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,3.0,4,2,17,9,12,2,11,53,,,22,23
Tangled Web Helm,Legendary,Helmet,Titan,959,Solar Energy Capacity,3.0,4,2,2,22,2,18,6,52,,,30,42
Illicit Collector Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,3.0,6,7,7,12,7,2,20,55,,,39,21
Outlawed Reaper Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,1.0,6,14,6,6,13,14,2,55,,,22,33
Righteous Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,1.0,9,8,2,16,13,6,6,51,dawn,,30,35
Opulent Duelist Greaves,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,4.0,7,12,2,11,13,2,12,52,opulent,,35,26
Hallowfire Heart,Exotic,Chest Armor,Titan,957,Solar Energy Capacity,1.0,1,9,14,7,8,6,16,60,,,32,21
Outlawed Reaper Greaves,Legendary,Leg Armor,Titan,959,Arc Energy Capacity,3.0,6,15,6,6,2,19,6,54,,,27,27
Wormgod Caress,Exotic,Gauntlets,Titan,958,Solar Energy Capacity,1.0,3,2,11,11,6,6,12,48,,,25,23
Lion Rampant,Exotic,Leg Armor,Titan,950,Solar Energy Capacity,3.0,1,8,12,9,10,12,7,58,,,24,31
Wing Discipline,Legendary,Chest Armor,Titan,960,Arc Energy Capacity,1.0,9,2,10,17,8,19,2,58,dawn,,21,44
Outlawed Reaper Greaves,Legendary,Leg Armor,Titan,959,Solar Energy Capacity,1.0,6,6,17,2,8,7,12,52,,,20,17
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,960,Void Energy Capacity,1.0,4,6,8,12,6,13,6,51,,,24,31
Khepri's Horn,Exotic,Helmet,Titan,960,Void Energy Capacity,3.0,2,6,9,18,2,18,11,64,,,35,38
An Insurmountable Skullfort,Exotic,Helmet,Titan,960,Solar Energy Capacity,4.0,1,10,3,22,6,13,9,63,,,41,41
Prodigal Helm,Legendary,Helmet,Titan,960,Void Energy Capacity,5.0,4,2,8,16,7,12,7,52,,,25,35
Peregrine Greaves,Exotic,Leg Armor,Titan,959,Arc Energy Capacity,1.0,7,13,13,2,6,6,12,52,,,27,14
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,960,Solar Energy Capacity,2.0,4,11,2,11,6,10,7,47,,,29,27
Lion Rampant,Exotic,Leg Armor,Titan,959,Arc Energy Capacity,3.0,1,16,8,2,6,12,6,50,,,24,20
Prodigal Gauntlets,Legendary,Gauntlets,Titan,960,Void Energy Capacity,3.0,4,15,11,2,7,8,12,55,,,29,17
Forged Machinist Gauntlets,Legendary,Gauntlets,Titan,960,Void Energy Capacity,1.0,5,10,6,6,2,8,19,51,forge,,35,16
Midnight Exigent Greaves,Legendary,Leg Armor,Titan,960,Solar Energy Capacity,4.0,3,7,12,6,10,8,7,50,,,20,24
Mimetic Savior Helm,Legendary,Helmet,Titan,960,Solar Energy Capacity,1.0,4,11,6,6,12,12,2,49,,,19,30
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,962,Void Energy Capacity,5.0,4,17,2,7,11,8,6,51,,,30,26
Mimetic Savior Plate,Legendary,Chest Armor,Titan,960,Solar Energy Capacity,5.0,4,12,6,6,6,12,8,50,,,26,24
Ancient Apocalypse Plate,Legendary,Chest Armor,Titan,959,Solar Energy Capacity,1.0,9,6,12,6,7,7,11,49,dawn,,23,20
Eternal Warrior,Exotic,Helmet,Titan,961,Void Energy Capacity,4.0,3,6,22,2,6,6,16,58,,,24,14
Prodigal Helm,Legendary,Helmet,Titan,959,Void Energy Capacity,1.0,4,6,2,17,25,2,2,54,,,25,44
Helm of Saint-14,Exotic,Helmet,Titan,961,Solar Energy Capacity,2.0,2,2,20,9,7,6,16,60,,,27,22
Antaeus Wards,Exotic,Leg Armor,Titan,960,Arc Energy Capacity,3.0,4,7,13,8,22,2,6,58,,,21,32
One-Eyed Mask,Exotic,Helmet,Titan,956,Solar Energy Capacity,5.0,4,12,7,15,13,13,2,62,,,29,41
Outlawed Reaper Helm,Legendary,Helmet,Titan,959,Solar Energy Capacity,4.0,6,13,6,6,7,14,6,52,,,25,27
Mimetic Savior Greaves,Legendary,Leg Armor,Titan,962,Void Energy Capacity,3.0,4,13,12,2,2,12,13,54,,,28,16
Tangled Web Gauntlets,Legendary,Gauntlets,Titan,960,Void Energy Capacity,2.0,4,2,2,22,6,6,12,50,,,36,34
Iron Truage Helm,Legendary,Helmet,Titan,963,Void Energy Capacity,1.0,9,15,6,6,9,6,12,54,dawn,,33,21
