Name,Tier,Type,Power,Category,Element,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perkcheck,PvE?,PvP?,In Masterlist?
better devils,Legendary,Hand Cannon,960,Kinetic,Kinetic,Range,10.0,Adaptive Frame,TrueSight HCS,Crossfire HCS,Sureshot HCS,Tactical Mag,Extended Mag,Outlaw,Explosive Payload,Glacial Whisper,Backup Mag,Masterwork,Crucible Tracker*,-----,4,1,1,Y
the mountaintop,Legendary,Grenade Launcher,960,Kinetic,Kinetic,Velocity,10.0,Lightweight Frame,Hard Launch,Spike Grenades,Rangefinder,Micro-Missile,Targeting Adjuster,Masterwork,Kill Tracker,-----,-----,-----,-----,-----,2,1,1,N
outbreak perfected,Exotic,Pulse Rifle,959,Kinetic,Kinetic,-----,-----,The Corruption Spreads,Extended Barrel,Accurized Rounds,Outlaw,Parasitism,Empty Catalyst Socket,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
ace of spades,Exotic,Hand Cannon,958,Kinetic,Kinetic,-----,-----,Memento Mori,Corkscrew Rifling,High-Caliber Rounds,Firefly,Smooth Grip,Crucible Tracker,Ace of Spades Catalyst,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
breakneck,Legendary,Auto Rifle,959,Kinetic,Kinetic,Range,10.0,Precision Frame,Polygonal Rifling,Extended Mag,Rampage,Onslaught,Masterwork,Tracker Disabled,-----,-----,-----,-----,-----,-----,2,1,1,N
talons of the eagle,Legendary,Scout Rifle,962,Kinetic,Kinetic,Range,2.0,High-Impact Frame,Corkscrew Rifling,Hammer-Forged Rifling,Appended Mag,Tactical Mag,Zen Moment,Moving Target,Iron Fuchsite,Tier 2 Weapon,-----,-----,-----,-----,4,0,1,Y
monte carlo,Exotic,Auto Rifle,958,Kinetic,Kinetic,-----,-----,Monte Carlo Method,Fluted Barrel,High-Caliber Rounds,Markov Chain,Composite Stock,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
wish-ender,Exotic,Combat Bow,960,Kinetic,Kinetic,-----,-----,Queen's Wrath,High Tension String,Anti-Taken Fletching,Broadhead,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
the hero's burden,Legendary,Submachine Gun,963,Energy,Void,Reload Speed,1.0,Adaptive Frame,SLO-12 Post,SPO-26 Front,Extended Mag,Armor-Piercing Rounds,Zen Moment,Kill Clip,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,-----,2,1,0,N
the recluse,Legendary,Submachine Gun,960,Energy,Void,Range,10.0,Lightweight Frame,Polygonal Rifling,Ricochet Rounds,Feeding Frenzy,Master of Arms,Backup Mag,Masterwork,Kill Tracker,-----,-----,-----,-----,-----,2,1,1,N
bad reputation,Legendary,Submachine Gun,959,Energy,Solar,Stability,3.0,Precision Frame,Wolf Sight W1,Dusk Sight D1,Extended Mag,Ricochet Rounds,Grave Robber,Outlaw,Glacial Whisper,Tier 3 Weapon,-----,-----,-----,-----,2,0,1,N
subtle calamity,Legendary,Combat Bow,955,Energy,Void,Accuracy,10.0,Precision Frame,Agile Bowstring,Polymer String,Carbon Arrow Shaft,Straight Fletching,Dragonfly,Explosive Head,Glacial Whisper,Dragonfly Spec,Masterwork,Kill Tracker,-----,-----,4,1,0,Y
sunshot,Exotic,Hand Cannon,960,Energy,Solar,Stability,10.0,Sunburn,Chambered Compensator,Accurized Rounds,Sun Blast,Textured Grip,Sunshot Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
ikelos_sg_v1.0.1,Legendary,Shotgun,959,Energy,Solar,Stability,5.0,Rapid-Fire Frame,Hammer-Forged Rifling,Trench Barrel,Tactical Mag,Threat Detector,GENOTYPENULL-ZERO,Masterwork Weapon,-----,-----,-----,-----,-----,-----,3,1,0,N
gunnora's axe,Legendary,Shotgun,962,Energy,Arc,Stability,1.0,Precision Frame,Chambered Compensator,Corkscrew Rifling,Extended Mag,Light Mag,Field Prep,Swashbuckler,Iron Fuchsite,Icarus Grip,Tier 1 Weapon,-----,-----,-----,0,1,1,N
the last dance,Legendary,Sidearm,962,Energy,Arc,Range,3.0,Omolon Adaptive Frame,Shortspec SAS,Tactic SAS,Target SAS,Appended Mag,Light Mag,Under Pressure,Rangefinder,Vanguard Veteran,Tier 3 Weapon,-----,-----,-----,0,0,0,N
crooked fang-4fr,Legendary,Linear Fusion Rifle,959,Power,Void,Range,10.0,Precision Frame,Chambered Compensator,Corkscrew Rifling,Ionized Battery,Particle Repeater,High-Impact Reserves,Box Breathing,Boss Spec,Masterwork,Kill Tracker,-----,-----,-----,0,0,0,N
whisper of the worm,Exotic,Sniper Rifle,958,Power,Solar,-----,-----,White Nail,Polygonal Rifling,Accurized Rounds,Mulligan,Fitted Stock,Whisper Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
hammerhead,Legendary,Machine Gun,957,Power,Void,Range,2.0,Adaptive Frame,Corkscrew Rifling,Fluted Barrel,Extended Mag,Armor-Piercing Rounds,Feeding Frenzy,High-Impact Reserves,GENOTYPENULL-ZERO,Boss Spec,Tier 2 Weapon,Base Radiance,-----,-----,0,0,0,N
steel sybil z-14,Legendary,Sword,960,Power,Void,Impact,5.0,Adaptive Frame,Hungry Edge,Jagged Edge,Tempered Edge,Burst Guard,Enduring Guard,Tireless Blade,Whirlwind Blade,Crucible Legacy,Tier 5 Weapon,-----,-----,-----,3,1,0,N
worldline zero,Exotic,Sword,959,Power,Arc,-----,-----,Tesseract,Tempered Edge,Infinite Guard,Assassin's Blade,Tireless Blade,Worldline Catalyst,-----,-----,-----,-----,-----,-----,-----,0,0,0,Exotic
outrageous fortune,Legendary,Grenade Launcher,963,Power,Solar,Reload Speed,5.0,Aggressive Frame,Quick Launch,Smart Drift Control,Black Powder,Concussion Grenades,Snapshot Sights,Quickdraw,Vanguard Veteran,Tier 5 Weapon,-----,-----,-----,-----,0,0,0,N
talons of the eagle,Legendary,Scout Rifle,959,Kinetic,Kinetic,Handling,3.0,High-Impact Frame,Arrowhead Brake,Extended Barrel,Steady Rounds,Flared Magwell,Outlaw,Opening Shot,Iron Fuchsite,Tier 3 Weapon,-----,-----,-----,-----,3,1,0,Y
the wizened rebuke,Legendary,Fusion Rifle,959,Energy,Arc,Charge Time,1.0,High-Impact Frame,Cleanshot IS,Hitmark IS,Red Dot 2 MOA,Accelerated Coils,Projection Fuse,Threat Detector,Tap the Trigger,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,3,1,1,Y
the wizened rebuke,Legendary,Fusion Rifle,959,Energy,Arc,Handling,4.0,High-Impact Frame,Hitmark IS,Red Dot 2 MOA,Red Dot Micro,Liquid Coils,Projection Fuse,Auto-Loading Holster,High-Impact Reserves,Iron Fuchsite,Tier 4 Weapon,-----,-----,-----,4,1,1,Y
orewing's maul,Legendary,Grenade Launcher,959,Energy,Void,Reload Speed,2.0,Lightweight Frame,Volatile Launch,Hard Launch,Linear Compensator,Blinding Grenades,Proximity Grenades,Quickdraw,Demolitionist,Iron Fuchsite,Tier 2 Weapon,-----,-----,-----,4,0,1,Y
does not compute,Legendary,Scout Rifle,961,Kinetic,Kinetic,Stability,2.0,High-Impact Frame,Rifle Scope ST,Hitmark IS,Tactical Mag,Steady Rounds,Hip-Fire Grip,Outlaw,Crucible Legacy,Tier 2 Weapon,-----,-----,-----,-----,3,1,1,Y
badlander,Legendary,Shotgun,960,Energy,Arc,Reload Speed,3.0,Rapid-Fire Frame,Smoothbore,Full Choke,Tactical Mag,Extended Mag,Slideshot,Snapshot Sights,Glacial Whisper,Tier 3 Weapon,-----,-----,-----,-----,3,1,1,N
orewing's maul,Legendary,Grenade Launcher,959,Energy,Void,Blast Radius,1.0,Lightweight Frame,Volatile Launch,Countermass,Linear Compensator,Blinding Grenades,Spike Grenades,Field Prep,Auto-Loading Holster,Iron Fuchsite,Tier 1 Weapon,-----,-----,-----,4,1,0,Y
redrix's broadsword,Legendary,Pulse Rifle,960,Kinetic,Kinetic,Stability,10.0,High-Impact Frame,Chambered Compensator,High-Caliber Rounds,Outlaw,Desperado,Masterwork,Unstoppable Burst,Crucible Tracker,-----,-----,-----,-----,-----,3,1,0,N
last perdition,Legendary,Pulse Rifle,960,Energy,Void,Range,2.0,Adaptive Frame,SLO-21 Post,SPO-28 Front,Tactical Mag,Steady Rounds,Rangefinder,Rampage,Crucible Legacy,Anti-Barrier Ranger,Tier 2 Weapon,-----,-----,-----,4,1,0,Y
shining sphere,Legendary,Rocket Launcher,962,Power,Arc,Handling,2.0,Adaptive Frame,Volatile Launch,Countermass,Alloy Casing,High-Velocity Rounds,Auto-Loading Holster,Demolitionist,Iron Oxide,Minor Spec,Tier 2 Weapon,-----,-----,-----,0,0,0,N
armillary psu,Rare,Scout Rifle,959,Kinetic,Kinetic,-----,-----,Precision Frame,Red Dot-OAS,High-Caliber Rounds,Quickdraw,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Rare
stubborn oak,Common,Shotgun,750,Energy,Solar,-----,-----,Aggressive Frame,Full Choke,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Common
butler rs/2,Uncommon,Rocket Launcher,750,Power,Arc,-----,-----,High-Impact Frame,Confined Launch,High-Velocity Rounds,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Uncommon
khvostov 7g-02,Common,Auto Rifle,750,Kinetic,Kinetic,-----,-----,Adaptive Frame,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Common
stubborn oak,Common,Shotgun,750,Energy,Solar,-----,-----,Aggressive Frame,Full Choke,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,0,0,0,Common
