Name,Tier,Type,Power,Dmg,Masterwork Type,Masterwork Tier,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perkcheck,PvE?,PvP?,In Masterlist?
steelfeather repeater,Legendary,Auto Rifle,960,Kinetic,Reload Speed,1.0,Rapid-Fire Frame,Arrowhead Brake,Fluted Barrel,Armor-Piercing Rounds,Light Mag,Subsistence,Elemental Capacitor,Tier 1 Weapon,-----,-----,-----,2,1,0,Y
sturm,Exotic,Hand Cannon,958,Kinetic,-----,-----,Accomplice,Extended Barrel,Extended Mag,Storm and Stress,Combat Grip,Sturm Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
better devils,Legendary,Hand Cannon,960,Kinetic,Stability,2.0,Adaptive Frame,SteadyHand HCS,TrueSight HCS,Sureshot HCS,Tactical Mag,Flared Magwell,Triple Tap,Zen Moment,Crucible Legacy,Tier 2 Weapon,-----,4,1,0,Y
blast furnace,Legendary,Pulse Rifle,958,Kinetic,Reload Speed,3.0,Aggressive Burst,Meyrin RDS,Satou Focus Lens,Drop Mag,Appended Mag,Outlaw,Rampage,New Age Black Armory,Backup Mag,Tier 3 Weapon,Base Radiance,4,1,1,Y
no turning back,Legendary,Combat Bow,960,Kinetic,Draw Time,3.0,Precision Frame,High Tension String,Fiberglass Arrow Shaft,Explosive Head,Hip-Fire Grip,Glacial Whisper,Tier 3 Weapon,-----,-----,-----,-----,3,0,1,N
spare rations,Legendary,Hand Cannon,960,Kinetic,Stability,1.0,Lightweight Frame,Fluted Barrel,Smallbore,Armor-Piercing Rounds,Ricochet Rounds,Field Prep,Rangefinder,Tier 1 Weapon,-----,-----,-----,3,0,1,Y
hard truths,Legendary,Submachine Gun,960,Kinetic,Range,1.0,Aggressive Frame,IS 5 Circle,Model 6 Loop,Armor-Piercing Rounds,Light Mag,Pulse Monitor,Grave Robber,Crucible Legacy,Tier 1 Weapon,-----,-----,2,1,0,Y
ten paces,Legendary,Hand Cannon,959,Kinetic,Range,1.0,Adaptive Frame,Crossfire HCS,Sureshot HCS,Tactical Mag,Flared Magwell,Moving Target,Hip-Fire Grip,Distant Earth,Tier 1 Weapon,-----,-----,3,0,1,N
fighting lion,Exotic,Grenade Launcher,950,Void,Reload Speed,10.0,Delayed Gratification,Countermass,Implosion Rounds,Thin the Herd,Short-Action Stock,Fighting Lion Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
anonymous autumn,Legendary,Sidearm,960,Solar,Handling,5.0,Lightweight Frame,Control SAS,Shortspec SAS,Appended Mag,Ricochet Rounds,Full Auto Trigger System,Rangefinder,Crucible Legacy,Tier 5 Weapon,-----,-----,4,0,1,Y
eriana's vow,Exotic,Hand Cannon,950,Solar,-----,-----,Looks Can Kill,Extended Barrel,Accurized Rounds,Death at First Glance,Polymer Grip,Empty Catalyst Socket,-----,-----,-----,-----,-----,0,0,0,Exotic
riskrunner,Exotic,Submachine Gun,950,Arc,Range,10.0,Arc Conductor,Arrowhead Brake,Extended Mag,Superconductor,Short-Action Stock,Riskrunner Catalyst,-----,-----,-----,-----,-----,0,0,0,Exotic
swift ride xe8375,Legendary,Pulse Rifle,959,Arc,Handling,2.0,Adaptive Frame,SRO-37 Ocular,SLO-10 Post,Extended Mag,Steady Rounds,Moving Target,Kill Clip,New Age Black Armory,Tier 2 Weapon,-----,-----,4,0,1,Y
the recluse,Legendary,Submachine Gun,960,Void,Range,10.0,Lightweight Frame,Polygonal Rifling,Ricochet Rounds,Feeding Frenzy,Master of Arms,Masterwork,Tracker Disabled,-----,-----,-----,-----,2,1,1,N
