Name,light.gg URL,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
crown-splitter,https://www.light.gg/db/items/1180270694,pve,Sword,Aggressive Frame,[],[],[],[]
crown-splitter,https://www.light.gg/db/items/1180270694,pvp,Sword,Aggressive Frame,[],[],[],[]
throne-cleaver,https://www.light.gg/db/items/569799273,pve,Sword,Aggressive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']","['Relentless Strikes', 'Tireless Blade', 'Shattering Blade']","['Counterattack', 'En Garde', 'Whirlwind Blade']",[]
throne-cleaver,https://www.light.gg/db/items/569799273,pvp,Sword,Aggressive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']","['Relentless Strikes', 'Tireless Blade']","['Counterattack', ""Assassin's Blade""]",[]
goldtusk,https://www.light.gg/db/items/569799275,pve,Sword,Lightweight Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']","['Relentless Strikes', 'Tireless Blade', 'En Garde']","['Surrounded', 'Whirlwind Blade']",[]
goldtusk,https://www.light.gg/db/items/569799275,pvp,Sword,Lightweight Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']","['Relentless Strikes', 'Tireless Blade']","['Surrounded', ""Assassin's Blade""]",[]
quickfang,https://www.light.gg/db/items/1180270692,pve,Sword,Lightweight Frame,[],[],[],[]
quickfang,https://www.light.gg/db/items/1180270692,pvp,Sword,Lightweight Frame,[],[],[],[]
death's razor,https://www.light.gg/db/items/569799274,pve,Sword,Adaptive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']","['Energy Transfer', 'Relentless Strikes', 'Tireless Blade']",['Whirlwind Blade'],[]
death's razor,https://www.light.gg/db/items/569799274,pvp,Sword,Adaptive Frame,"['Hungry Edge', 'Jagged Edge', 'Tempered Edge']","['Energy Transfer', 'Relentless Strikes', 'Tireless Blade']","['Counterattack', ""Assassin's Blade""]",[]
eternity's edge,https://www.light.gg/db/items/1180270693,pve,Sword,Adaptive Frame,[],[],[],[]
eternity's edge,https://www.light.gg/db/items/1180270693,pvp,Sword,Adaptive Frame,[],[],[],[]
braytech werewolf,https://www.light.gg/db/items/528834068,pve,Auto Rifle,Precision Frame,[],[],[],[]
braytech werewolf,https://www.light.gg/db/items/528834068,pvp,Auto Rifle,Precision Frame,[],[],[],[]
braytech winter wolf,https://www.light.gg/db/items/1752585070,pve,Auto Rifle,Precision Frame,[],[],[],[]
braytech winter wolf,https://www.light.gg/db/items/1752585070,pvp,Auto Rifle,Precision Frame,[],[],[],[]
breakneck,https://www.light.gg/db/items/324382200,pve,Auto Rifle,Precision Frame,[],[],[],[]
breakneck,https://www.light.gg/db/items/324382200,pvp,Auto Rifle,Precision Frame,[],[],[],[]
duty bound,https://www.light.gg/db/items/1457979868,pve,Auto Rifle,Adaptive Frame,[],[],[],[]
duty bound,https://www.light.gg/db/items/1457979868,pvp,Auto Rifle,Adaptive Frame,[],[],[],[]
ether doctor,https://www.light.gg/db/items/1839565992,pve,Auto Rifle,Adaptive Frame,"['King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['Extended Mag', 'Alloy Magazine', 'High-Caliber Rounds']",['Zen Moment'],"['Rampage', 'High-Impact Reserves']"
ether doctor,https://www.light.gg/db/items/1839565992,pvp,Auto Rifle,Adaptive Frame,"['King Sight K1', 'Dusk Sight D1', 'Dusk Dot D1']","['Ricochet Rounds', 'Flared Magwell']","['Zen Moment', 'Tap the Trigger', 'Dynamic Sway Reduction']","['Slideways', 'Under Pressure']"
foregone conclusion,https://www.light.gg/db/items/1137768695,pve,Auto Rifle,Rapid-Fire Frame,[],[],[],[]
foregone conclusion,https://www.light.gg/db/items/1137768695,pvp,Auto Rifle,Rapid-Fire Frame,[],[],[],[]
gahlran's right hand,https://www.light.gg/db/items/1286686760,pve,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Corkscrew Rifling', 'Fluted Barrel', 'Polygonal Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Extended Mag', 'Armor-Piercing Rounds']","['Zen Moment', 'Tap the Trigger', 'Outlaw']","['Demolitionist', 'Multikill Clip', 'High-Impact Reserves']"
gahlran's right hand,https://www.light.gg/db/items/1286686760,pvp,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Arrowhead Brake', 'Extended Barrel']","['High-Caliber Rounds', 'Ricochet Rounds']","['Zen Moment', 'Tap the Trigger', 'Eye of the Storm']","['Demolitionist', 'Underdog', 'Rangefinder']"
ghost primus,https://www.light.gg/db/items/2505533224,pve,Auto Rifle,Adaptive Frame,[],[],[],[]
ghost primus,https://www.light.gg/db/items/2505533224,pvp,Auto Rifle,Adaptive Frame,[],[],[],[]
guiding star,https://www.light.gg/db/items/472847207,pve,Auto Rifle,Rapid-Fire Frame,[],[],[],[]
guiding star,https://www.light.gg/db/items/472847207,pvp,Auto Rifle,Rapid-Fire Frame,[],[],[],[]
halfdan-d,https://www.light.gg/db/items/3778520450,pve,Auto Rifle,High-Impact Frame,[],[],[],[]
halfdan-d,https://www.light.gg/db/items/3778520450,pvp,Auto Rifle,High-Impact Frame,[],[],[],[]
halfdan-d,https://www.light.gg/db/items/1518042134,pve,Auto Rifle,High-Impact Frame,"['SC Holo', 'GA Post']","['Tactical Mag', 'Steady Rounds', 'Alloy Magazine']","['Dynamic Sway Reduction', 'Outlaw']","['Kill Clip', 'Rampage']"
halfdan-d,https://www.light.gg/db/items/1518042134,pvp,Auto Rifle,High-Impact Frame,['SC Holo'],"['Tactical Mag', 'Steady Rounds', 'Drop Mag']","['Dynamic Sway Reduction', 'Tap the Trigger']","['Kill Clip', 'Rangefinder']"
hazard of the cast,https://www.light.gg/db/items/1789347249,pve,Auto Rifle,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']","['High-Caliber Rounds', 'Appended Mag', 'Armor-Piercing Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']","['Zen Moment', 'Ambitious Assassin', 'Tap the Trigger', 'Triple Tap']","['Rampage', 'Kill Clip', 'High-Impact Reserves']"
hazard of the cast,https://www.light.gg/db/items/1789347249,pvp,Auto Rifle,Precision Frame,"['Arrowhead Brake', 'Chambered Compensator']","['High-Caliber Rounds', 'Extended Mag']",['Zen Moment'],"['Rampage', 'Quickdraw']"
horror story,https://www.light.gg/db/items/3829285960,pve,Auto Rifle,Precision Frame,[],[],[],[]
horror story,https://www.light.gg/db/items/3829285960,pvp,Auto Rifle,Precision Frame,[],[],[],[]
loquitor iv,https://www.light.gg/db/items/1650442173,pve,Auto Rifle,High-Impact Frame,[],[],[],[]
loquitor iv,https://www.light.gg/db/items/1650442173,pvp,Auto Rifle,High-Impact Frame,[],[],[],[]
origin story,https://www.light.gg/db/items/1644162710,pve,Auto Rifle,Precision Frame,[],[],[],[]
origin story,https://www.light.gg/db/items/1644162710,pvp,Auto Rifle,Precision Frame,[],[],[],[]
orimund's anvil,https://www.light.gg/db/items/1369487074,pve,Auto Rifle,Precision Frame,[],[],[],[]
orimund's anvil,https://www.light.gg/db/items/1369487074,pvp,Auto Rifle,Precision Frame,[],[],[],[]
pluperfect,https://www.light.gg/db/items/1952163498,pve,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Smallbore', 'Corkscrew Rifling', 'Fluted Barrel']","['High-Caliber Rounds', 'Ricochet Rounds', 'Appended Mag']","['Underdog', 'Outlaw', 'Zen Moment']","['Kill Clip', 'Rampage', 'High-Impact Reserves']"
pluperfect,https://www.light.gg/db/items/1952163498,pvp,Auto Rifle,High-Impact Frame,"['Chambered Compensator', 'Smallbore', 'Extended Barrel', 'Hammer-Forged Rifling']","['High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']","['Underdog', 'Outlaw', 'Zen Moment', 'Slideways']","['Kill Clip', 'Rampage', 'Dynamic Sway Reduction', 'Mulligan']"
scathelocke,https://www.light.gg/db/items/3762467078,pve,Auto Rifle,Adaptive Frame,[],[],[],[]
scathelocke,https://www.light.gg/db/items/3762467078,pvp,Auto Rifle,Adaptive Frame,[],[],[],[]
